mlb_player_id,player_name,injury_date,season,injury_description,team_name
434378,Justin Verlander,2015-04-08,2015,"Detroit Tigers placed RHP Justin Verlander on the 15-day disabled list retroactive to March 29, 2015. Strained right triceps",Detroit Tigers
434378,Justin Verlander,2015-06-13,2015,Detroit Tigers activated RHP Justin Verlander from the 15-day disabled list.,Detroit Tigers
434378,Justin Verlander,2020-07-27,2020,"Houston Astros placed RHP Justin Verlander on the 10-day injured list retroactive to July 25, 2020. Right forearm strain.",Houston Astros
434378,Justin Verlander,2020-09-28,2020,Houston Astros activated RHP Justin Verlander from the 10-day injured list.,Houston Astros
434378,Justin Verlander,2021-02-27,2021,Houston Astros placed P Justin Verlander on the 60 day disabled list.,Houston Astros
434378,Justin Verlander,2022-08-30,2022,"Houston Astros placed RHP Justin Verlander on the 15-day injured list retroactive to August 29, 2022. Right calf injury.",Houston Astros
434378,Justin Verlander,2022-09-16,2022,Houston Astros activated RHP Justin Verlander from the 15-day injured list.,Houston Astros
434378,Justin Verlander,2023-03-31,2023,"New York Mets placed RHP Justin Verlander on the 15-day injured list retroactive to March 28, 2023. Low grade teres major strain.",New York Mets
434378,Justin Verlander,2023-05-04,2023,New York Mets activated RHP Justin Verlander from the 15-day injured list.,New York Mets
434378,Justin Verlander,2024-03-28,2024,Houston Astros placed RHP Justin Verlander on the 15-day injured list. Right shoulder inflammation.,Houston Astros
434378,Justin Verlander,2024-04-19,2024,Houston Astros activated RHP Justin Verlander from the 15-day injured list.,Houston Astros
434378,Justin Verlander,2024-06-18,2024,"Houston Astros placed RHP Justin Verlander on the 15-day injured list retroactive to June 16, 2024. Neck discomfort.",Houston Astros
434378,Justin Verlander,2024-08-21,2024,Houston Astros activated RHP Justin Verlander from the 15-day injured list.,Houston Astros
445276,Kenley Jansen,2011-05-29,2011,Los Angeles Dodgers placed RHP Kenley Jansen on the 15-day disabled list. Right shoulder inflammation.,Los Angeles Dodgers
445276,Kenley Jansen,2011-06-18,2011,Los Angeles Dodgers activated RHP Kenley Jansen from the 15-day disabled list.,Los Angeles Dodgers
445276,Kenley Jansen,2011-07-29,2011,"Los Angeles Dodgers placed RHP Kenley Jansen on the 15-day disabled list retroactive to July 27, 2011. Cardiac arrhythmia.",Los Angeles Dodgers
445276,Kenley Jansen,2011-08-25,2011,Los Angeles Dodgers activated RHP Kenley Jansen from the 15-day disabled list.,Los Angeles Dodgers
445276,Kenley Jansen,2015-04-05,2015,"Los Angeles Dodgers placed RHP Kenley Jansen on the 15-day disabled list retroactive to March 27, 2015. Fifth metatarsal injury.",Los Angeles Dodgers
445276,Kenley Jansen,2015-05-15,2015,Los Angeles Dodgers activated RHP Kenley Jansen from the 15-day disabled list.,Los Angeles Dodgers
445276,Kenley Jansen,2017-01-10,2017,Los Angeles Dodgers placed RHP Kenley Jansen on the 10-day disabled list. Irregular heartbeat.,Los Angeles Dodgers
445276,Kenley Jansen,2018-08-10,2018,Los Angeles Dodgers placed RHP Kenley Jansen on the 10-day disabled list. Irregular heartbeat.,Los Angeles Dodgers
445276,Kenley Jansen,2018-08-20,2018,Los Angeles Dodgers activated P Kenley Jansen from the 10 day injured list.,Los Angeles Dodgers
445276,Kenley Jansen,2022-06-28,2022,"Atlanta Braves placed RHP Kenley Jansen on the 15-day injured list retroactive to June 27, 2022. Irregular heartbeat.",Atlanta Braves
445276,Kenley Jansen,2022-07-13,2022,Atlanta Braves activated RHP Kenley Jansen from the 15-day injured list.,Atlanta Braves
445276,Kenley Jansen,2023-09-13,2023,Boston Red Sox placed RHP Kenley Jansen on the 7-day injured list.,Boston Red Sox
445276,Kenley Jansen,2023-09-23,2023,Boston Red Sox activated RHP Kenley Jansen from the 7-day injured list.,Boston Red Sox
445276,Kenley Jansen,2024-09-23,2024,Boston Red Sox placed RHP Kenley Jansen on the 15-day injured list. Right shoulder inflammation.,Boston Red Sox
445276,Kenley Jansen,2024-10-01,2024,Boston Red Sox activated RHP Kenley Jansen from the 15-day injured list.,Boston Red Sox
445926,Jesse Chavez,2012-07-21,2012,Las Vegas 51s placed RHP Jesse Chavez on the 7-day disabled list.,Las Vegas Aviators
445926,Jesse Chavez,2015-09-16,2015,Oakland Athletics placed RHP Jesse Chavez on the 60-day disabled list. Fractured rib.,Athletics
445926,Jesse Chavez,2015-11-03,2015,Oakland Athletics activated RHP Jesse Chavez from the 60-day disabled list.,Athletics
